Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2010-09-30,119.34586071,155.43609432,109.87102076,122.39586693,135.56795943,113.5252759,138.33844082,148.75163711,122.36905087,97.491147224,190.91162125,124.18195906,114.89051876,106.47143518,119.76146193,119.56409655,118.68962017,138.71169499,145.83829045,160.32584667,132.74630339,75.121468283,115.21237645,120.44880346,115.7401273,153.86636831,114.62890621,96.329823254,130.74550682,155.06641559,140.39106771,152.08349778,117.28442454,156.39317523,98.902948196,130.81200023,137.12916263,148.40919144,147.00953815,118.94532554,133.69163971,121.1123911,127.40038712,125.64049594,157.60260788,155.97204112,138.30527789,131.46525127,120.29035292,162.67881318
2010-10-31,118.40947714,155.19012983,107.67682488,121.56853083,134.3111332,113.03024158,137.16871265,148.20836398,121.08543876,95.504503174,190.86959565,122.78004782,113.78810378,105.7830564,118.98630116,119.06770776,118.06339282,138.4590246,144.93961937,159.59536524,131.96854893,74.4798742,114.02107731,119.87979251,113.44181168,152.53680633,113.63475213,95.094856196,129.21364279,153.8911846,139.45257354,151.30380311,116.58261374,156.54219549,98.194124227,129.92816,135.2604475,147.61737914,145.93306521,118.01953549,133.40510794,120.33908847,125.94161142,124.33996182,157.08648127,154.70422826,136.24872654,131.24278343,119.35134822,162.16504023
2010-11-30,117.37367151,155.18900412,105.9163091,121.09574381,133.16257302,112.15270401,136.14994599,147.54221413,119.79359255,94.303637848,190.74657654,121.42369717,112.29996285,104.93309889,118.21667201,118.42235013,117.46943809,138.32215613,144.10318939,158.63297707,130.96638107,73.798130736,112.50948436,119.21097969,111.56525259,150.83019652,113.26371445,93.854951562,127.66248492,152.98051293,138.76647579,150.50135331,116.08656694,156.42156754,97.166906842,129.02773973,133.24521692,146.36257373,144.93698662,117.08242238,132.93492735,119.11710573,125.17460235,122.85582739,156.91609536,153.58589625,134.15812601,130.67970688,118.39016465,161.7612616
2010-12-31,116.35624896,155.31862965,104.95003196,120.88777699,131.92499652,110.8346412,135.05325392,146.4820859,117.88351549,93.552523742,190.30529302,119.90684277,110.33961717,103.65794862,117.56181274,117.49396118,116.80877019,137.90573351,143.3957957,157.18771746,129.61428463,73.002541088,110.43447985,118.74344663,110.38790839,149.19673345,113.39963614,92.534615609,126.21475751,151.71348001,138.14814482,149.69310686,115.29041451,156.12690145,95.56623168,127.79750466,131.15248811,144.47371867,143.93628318,116.18285066,132.49441775,118.00607077,124.78917785,121.34042756,156.94607416,152.17198563,132.34578065,129.80273608,117.29567503,161.5230731
2011-01-31,115.59865675,155.4999402,104.6407678,120.97087101,130.63185165,109.79368981,133.90993667,145.02029425,116.2920554,92.937841369,189.82722849,118.5072778,109.13047685,102.56284662,117.22152575,116.52264773,116.30567296,137.14588635,142.92361495,155.69582407,128.41929586,72.076547477,108.43187775,118.57172646,109.80115305,148.07218708,113.63378301,91.231630158,124.96700024,150.30887323,137.38412864,149.09401178,114.26272812,155.97957946,94.245503317,126.57439406,129.41757469,142.93930817,142.87656081,115.50052667,132.33954761,117.61779438,124.52627158,119.97290411,156.95360395,151.03669943,131.07650384,128.96043819,115.92168593,161.42397802
2011-02-28,115.24855362,155.68594241,104.56362785,121.12463961,129.82975669,109.50596699,133.12345336,143.49794754,115.6061431,92.600815266,189.64507874,117.5980252,108.87973314,102.53013819,117.28911874,115.98767146,116.23181768,136.36518911,142.66099387,154.85376017,127.75496265,71.312127502,107.14487991,118.70896768,109.90501306,147.56924062,113.85970201,90.115537799,124.23880515,149.20844486,136.55218537,148.45072452,113.46557595,156.17662695,93.711417134,126.09834769,128.52950554,142.4724857,141.95372312,115.36922034,132.4887923,117.99274287,124.82822279,119.12715731,156.76970247,151.05560714,130.55402321,128.52780053,114.47741535,161.5234559
2011-03-31,115.41609511,156.04751149,104.19761617,121.28294071,129.7644303,109.87448234,133.26550292,142.33836133,115.72405288,92.510415613,189.61096433,117.21902141,109.03460782,103.5668588,117.79349904,116.10585378,116.38796727,136.2453041,142.59880823,155.14560231,128.02576244,71.215331826,106.97177135,119.09088087,110.68106877,147.6876162,114.14536072,89.1834187,124.21748831,148.66350071,135.84761546,147.9377197,113.54246553,156.93191076,94.064839963,126.73129928,128.59418539,143.17115048,141.41012678,115.56679571,132.88638608,118.77230263,125.43081488,118.80702297,156.60991598,152.26969021,130.43275461,128.51406317,114.1528101,161.86094731
2011-04-30,115.90590437,156.65045435,103.46410596,121.55535296,129.85037744,110.71136583,134.29083603,141.82557692,116.55967283,92.544502207,189.68069175,117.30148322,109.26833565,104.80822205,118.6290519,116.7366417,116.60621641,136.78945321,142.86329032,156.13114121,129.15353237,72.030803872,107.82575619,119.65012772,111.72311218,148.32353149,114.64400536,88.370550552,124.82531834,148.82832402,135.38347661,147.64536678,114.36542991,158.30915247,95.359514102,128.16919593,129.10942603,144.45267311,141.07421848,115.6884287,133.49359143,119.55766824,126.03608035,118.87887634,156.88167977,154.15975797,130.42767305,128.73807506,115.17383979,162.34103229
2011-05-31,116.23360417,157.27707411,102.81495823,121.95582775,129.55837576,111.590402,135.43181701,141.69715215,117.48158584,92.599369521,189.66754798,117.59095948,109.62377791,105.61121971,119.62173087,117.5806134,117.07608335,137.57793371,143.42045382,156.91526592,130.27939576,73.56194578,109.26357589,120.13508596,112.57876696,149.1031959,115.331343,87.826655609,125.80179899,149.56269885,135.23236425,147.96840265,115.10197339,160.00923071,96.784426032,129.5779102,129.73858362,145.53459456,140.89885882,115.60863169,134.11336639,120.22435099,126.81965496,119.52162028,157.48606705,155.73737523,130.46962855,129.08007313,116.24353,162.85041597
2011-06-30,116.2749921,157.53332135,102.68861571,122.4397032,129.25275759,112.17178524,136.06348606,141.52738052,117.68913539,92.583725992,189.43551555,117.76495378,110.0134375,106.00498437,120.24464736,118.27350964,117.74815402,138.09772203,143.95032048,157.23486226,130.84783823,74.943041055,110.71846495,120.21670025,113.24815283,149.94258256,115.79808476,87.490833119,126.65117468,150.49649642,135.21925331,149.06146856,115.38875551,161.58281516,97.525542677,130.19347991,130.60077112,146.34569587,140.97845778,115.3210274,134.4699833,120.59596936,127.58680889,120.27457343,158.09424136,156.35635647,130.35209045,129.49539242,116.6540846,163.4062745
